"Location Name","Location ID","Comments within last month / comments last recorded","Registered manager","Location UPRN","Location telephone number","Location Web Address","Location Local Authority","Location ADASS Region","Primary inspection category","Service Types","Care homes beds","Location HSCA start date","Location HSCA end date","Dormant","Location Latest Overall Rating","Publication Date","Service users supported","Size of care home (bands by number of beds)","Location length of service (bands by number of years)","Location safe rating","Location effective rating","Location caring rating","Location responsive rating","Location well-led rating","Provider Name","Provider ID","Provider HSCA start date","Provider length of service (bands by number of years)","Provider Ownership Type","Provider Companies House Number","Provider characteristic - number of locations","Provider characteristic - national group size (based on locations)","Provider characteristic - number of beds","Provider characteristic - share of beds (nationally)","Provider characteristic - number of local authority areas where it has locations","Provider characteristic - % of local authority areas where it has locations","Brand Name","Brand ID","Brand characteristic - number of locations","Brand characteristic -national group size (based on locations)","Brand characteristic - number of beds","Brand characteristic - share of beds (nationally)","Brand characteristic - % of local authority areas where it has locations","Brand characteristic - number of local authority areas where it has locations"
"Acorn Care Service","1-124361549","","Williams, Samantha Deborah, Miss","","01983409820","www.acorncareservice.org","Isle of Wight","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2010-12-07","","N","Good","12/7/2010 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","","More than 8 years","Good","Good","Good","Good","Good","Acorn Care Service Ltd","1-101648889","10/1/2010 12:00:00 AM","15","Organisation","04854070","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Acorn Care Solutions Ltd","1-14723385731","","Wilkins, Theresa Marie, Mrs","37012704","07368387161","","Hampshire","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2023-02-01","","N","","2/1/2023 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions","","More than 3 years but less than 5 years","","","","","","Acorn Care Solutions Ltd","1-14326013327","2/1/2023 12:00:00 AM","3","Organisation","14221328","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Acorn Close","1-131819895","","Foster, Chanel Paris, Mrs","10013598393","01509504279","www.prime-life.co.uk","Leicestershire","East Midlands (ADASS Region)","Residential social care","Care home service without nursing","23","2011-01-20","","N","Good","1/20/2011 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Prime Life Limited","1-102642921","10/1/2010 12:00:00 AM","15","Organisation","02779611","68","More than 50 locations","2312","0.26","16","10.00%","BRAND Prime Life Limited","BD158","76","More than 50 locations","2857","0.32","17","11.00%"
"Acorn Community Care","1-641489788","","Holden, David Paul, Mr","100050449516","01653699922","www.acorncommunity.care","North Yorkshire","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2013-03-22","","N","Good","3/22/2013 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","","More than 8 years","Good","Good","Good","Good","Good","Acorn Community Care","1-629483055","3/22/2013 12:00:00 AM","12","Organisation","04528689","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Acorn Complete Care Ltd","1-12201511557","","","27111633","02034908425","","Haringey","Greater London (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2021-12-15","","N","Good","12/15/2021 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","","More than 3 years but less than 5 years","Good","Good","Good","Good","Good","Acorn Complete Care Ltd","1-11646818139","12/15/2021 12:00:00 AM","4","Organisation","13415969","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Acorn Court Care Home","1-320068542","","Deadman, Paula Margaret, Mrs","68167456","02088796550","www.carebase.org.uk","Surrey","South East (ADASS Region)","Residential social care","Care home service with nursing","86","2011-10-10","","N","Good","10/10/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities, Sensory impairment","61 beds and over","More than 8 years","Good","Good","Good","Good","Good","Carebase (Redhill) Limited","1-318108030","10/10/2011 12:00:00 AM","14","Organisation","05759642","1","1 location","86","0.01","1","1.00%","BRAND Carebase","BD526","18","11 - 20 locations","1200","0.13","8","5.00%"
"Acorn Grange","1-18246460994","","Fagan, Donna Marie, Mrs","100110714023","01740656976","","Durham","North East (ADASS Region)","Residential social care","Care home service without nursing","46","2024-02-07","","N","Good","2/7/2024 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia","40-60 beds","More than 1 year but less than 3 years","Good","Good","Good","Good","Good","Manor Care Home Group","1-16579940740","2/7/2024 12:00:00 AM","2","Partnership","","4","2 - 5 locations","214","0.02","3","2.00%","","","","","","0","",""
"Acorn Heights Care Home","1-133740615","","Mclaughlin, Anneta Marie, Mrs","10014137701","01282422500","","Lancashire","North West (ADASS Region)","Residential social care","Care home service without nursing","22","2011-01-19","","N","Good","1/19/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","S.J. Care Homes (Wallasey) Limited","1-101685460","10/1/2010 12:00:00 AM","15","Organisation","05708420","2","2 - 5 locations","50","0.01","2","1.00%","","","","","","0","",""
"Acorn Hollow General Nursing Home","1-319088352","","Astles, Rachel, Ms","10013203256","01606456030","www.hc-one.co.uk/homes/acorn-hollow","Cheshire West and Chester","North West (ADASS Region)","Residential social care","Care home service with nursing","48","2011-10-31","","N","Good","10/31/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","HC-One Limited","1-305829465","10/31/2011 12:00:00 AM","14","Organisation","07712656","214","More than 50 locations","11164","1.25","76","49.00%","BRAND HC-One Limited","BD130","444","More than 50 locations","27004","3.02","106","68.00%"
"Acorn House","1-111256419","","Atkinson, Emma Louise, Mrs","200000849978","01189439462","www.purleyparktrust.org","West Berkshire","South East (ADASS Region)","Residential social care","Care home service without nursing","5","2011-01-19","","N","Good","1/19/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Outstanding","Good","Purley Park Trust Limited","1-101612978","10/1/2010 12:00:00 AM","15","Organisation","00989820","10","6 - 10 locations","53","0.01","1","1.00%","","","","","","0","",""
"Acorn House","1-1305105437","","Straw, Claire Louise, Mrs","10023983821","01159605981","","Nottingham","East Midlands (ADASS Region)","Residential social care","Care home service without nursing","64","2014-03-14","","N","Good","3/14/2014 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder","61 beds and over","More than 8 years","Good","Good","Good","Outstanding","Good","Acacia Care (Nottingham) Ltd","1-1244256925","3/14/2014 12:00:00 AM","11","Organisation","08728149","3","2 - 5 locations","180","0.02","3","2.00%","","","","","","0","",""
"Acorn House - Acorn Watford Limited","1-132754015","","Leggett, Diane Teresa, Ms","22073460","01273271237","","Brighton and Hove","South East (ADASS Region)","Residential social care","Care home service without nursing","10","2010-10-27","","N","Good","10/27/2010 12:00:00 AM","Learning Disabilities or autistic spectrum disorder","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Acorn (Watford) Ltd","1-101686181","10/1/2010 12:00:00 AM","15","Organisation","06005399","1","1 location","10","0","1","1.00%","","","","","","0","",""
"Acorn House - Bideford","1-118554697","","","100040374369","01237424248","www.arknursing.co.uk","Devon","South West (ADASS Region)","Residential social care","Care home service without nursing","6","2010-11-23","","N","Good","11/23/2010 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Ark Care Homes Limited","1-101659592","11/23/2010 12:00:00 AM","15","Organisation","04761394","6","6 - 10 locations","62","0.01","3","2.00%","","","","","","0","",""
"Acorn House - Croydon","1-122249359","","Hearn, Veronika Anne, Mrs","100020635383","02086603363","www.acorncarehomes.co.uk","Croydon","Greater London (ADASS Region)","Residential social care","Care home service without nursing","31","2010-12-15","","N","Requires improvement","12/15/2010 12:00:00 AM","Dementia","25-39 beds","More than 8 years","Good","Requires improvement","Good","Good","Requires improvement","Medicrest Limited","1-101670914","10/1/2010 12:00:00 AM","15","Organisation","03077781","4","2 - 5 locations","160","0.02","2","1.00%","","","","","","0","",""
"Acorn House - Laindon","1-124409587","","","100091210943","01268453216","www.kingswoodcare.co.uk","Essex","East (ADASS Region)","Residential social care","Care home service without nursing","6","2011-01-26","","N","Good","1/26/2011 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Kingswood Care Services Limited","1-101613842","10/1/2010 12:00:00 AM","15","Organisation","03566908","7","6 - 10 locations","27","0","1","1.00%","","","","","","0","",""
"Acorn House Care Centre","1-329250007","","Mcgurk, Jennifer Ann, Mrs","100012535517","01254867107","","Blackburn with Darwen","North West (ADASS Region)","Residential social care","Care home service without nursing","32","2011-10-31","","N","Good","10/31/2011 12:00:00 AM","Caring for adults over 65 yrs, Dementia","25-39 beds","More than 8 years","Good","Good","Good","Good","Good","MMCG (CCH) Limited","1-302314292","9/30/2011 12:00:00 AM","14","Organisation","07590616","8","6 - 10 locations","541","0.06","6","4.00%","BRAND Maria Mallaband Care Group","BD162","95","More than 50 locations","5478","0.61","50","32.00%"
"Acorn House Residential Home Limited","1-124270785","","Poole, Jaclyn, Miss","100061232667","01634848469","","Medway","South East (ADASS Region)","Residential social care","Care home service without nursing","28","2010-12-07","","N","Good","12/7/2010 12:00:00 AM","Caring for adults over 65 yrs, Dementia","25-39 beds","More than 8 years","Good","Good","Good","Good","Good","Acorn House Residential Home Limited","1-101681589","10/1/2010 12:00:00 AM","15","Organisation","05628604","1","1 location","28","0","1","1.00%","","","","","","0","",""
"Acorn Hove","1-104959356","","Boult, Sara Jayne, Miss","22040032","01273503586","","Brighton and Hove","South East (ADASS Region)","Residential social care","Care home service without nursing","12","2010-12-14","","N","Requires improvement","12/14/2010 12:00:00 AM","Dementia, Learning Disabilities or autistic spectrum disorder","10-24 beds","More than 8 years","Requires improvement","Good","Good","Good","Requires improvement","Loxwood House Ltd","1-101617143","10/1/2010 12:00:00 AM","15","Organisation","05187380","1","1 location","12","0","1","1.00%","","","","","","0","",""
"Acorn Lodge","1-151386491","","George, Fiby, Mrs","10070640622","01342323207","","West Sussex","South East (ADASS Region)","Residential social care","Care home service with nursing","47","2011-01-26","","N","Requires improvement","1/26/2011 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Mental health conditions","40-60 beds","More than 8 years","Requires improvement","Good","Requires improvement","Requires improvement","Requires improvement","Acorn Health Care Limited","1-101666474","1/26/2011 12:00:00 AM","15","Organisation","02838806","1","1 location","47","0.01","1","1.00%","","","","","","0","",""
"Acorn Lodge - Bournemouth","1-108565934","","Druce, Matthew Philip, Mr","100041108499","01202426085","","Bournemouth, Christchurch and Poole","South West (ADASS Region)","Residential social care","Care home service without nursing","9","2010-12-07","","N","Good","12/7/2010 12:00:00 AM","Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Acorn Lodge (Bournemouth) Limited","1-101608166","10/1/2010 12:00:00 AM","15","Organisation","9345667","2","2 - 5 locations","16","0","1","1.00%","","","","","","0","",""
"Acorn Lodge - Croydon","1-122249345","","Ampaw, Mercy Catherine, Mrs","100022917533","02086600983","www.acorncarehomes.co.uk","Croydon","Greater London (ADASS Region)","Residential social care","Care home service without nursing","39","2010-12-15","","N","Good","12/15/2010 12:00:00 AM","Caring for adults over 65 yrs, Dementia","25-39 beds","More than 8 years","Good","Good","Good","Good","Requires improvement","Medicrest Limited","1-101670914","10/1/2010 12:00:00 AM","15","Organisation","03077781","4","2 - 5 locations","160","0.02","2","1.00%","","","","","","0","",""
"Acorn Lodge - Surbiton","1-14864692710","","Tagoe, Alfred, Mr","100023066339","02082969633","","Kingston upon Thames","Greater London (ADASS Region)","Residential social care","Care home service without nursing","10","2023-06-15","","N","Good","6/15/2023 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions","10-24 beds","More than 1 year but less than 3 years","Good","Good","Good","Good","Good","Carelodges Group Limited","1-14191946345","6/15/2023 12:00:00 AM","2","Organisation","14151855","3","2 - 5 locations","28","0","2","1.00%","","","","","","0","",""
"Acorn Lodge Care Centre","1-107269593","","","100023002118","02085339555","","Hackney","Greater London (ADASS Region)","Residential social care","Care home service with nursing","101","2010-12-07","","N","Good","12/7/2010 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Mental health conditions, Physical disabilities","61 beds and over","More than 8 years","Good","Good","Good","Good","Good","Acorn Lodge Limited","1-101608112","10/1/2010 12:00:00 AM","15","Organisation","04318265","1","1 location","101","0.01","1","1.00%","","","","","","0","",""
"Acorn Lodge Care Home","1-321193905","","West, Jacqueline Karen, Mrs","100071359863","02476642680","www.averyhealthcare.co.uk/care-homes/warwickshire/nuneaton/acorn-lodge","Warwickshire","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","60","2011-10-11","","N","Good","10/11/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","Avery Homes Nuneaton Limited","1-241982856","10/11/2011 12:00:00 AM","14","Organisation","07007817","2","2 - 5 locations","134","0.02","2","1.00%","BRAND Avery","BD293","183","More than 50 locations","15544","1.74","54","35.00%"
"Acorn Lodge Care Home","1-132080995","","Kovaleva, Tatiana, Mrs","10006915755","01371851172","","Essex","East (ADASS Region)","Residential social care","Care home service without nursing","15","2011-01-21","","N","Good","1/21/2011 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Eden Health Care Services (UK) Limited","1-101639102","10/1/2010 12:00:00 AM","15","Organisation","06221899","1","1 location","15","0","1","1.00%","","","","","","0","",""
"Acorn Lodge Residential Care Home","1-13931022751","","Gregory, Joyce Clegg, Mrs","","01253300036","","Blackpool","North West (ADASS Region)","Residential social care","Care home service without nursing","10","2023-01-31","","N","Good","1/31/2023 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions","10-24 beds","More than 3 years but less than 5 years","Good","Good","Good","Good","Good","Pro Care Homes (Blackpool) Limited","1-13910187200","1/31/2023 12:00:00 AM","3","Organisation","14183181","4","2 - 5 locations","65","0.01","2","1.00%","","","","","","0","",""
"Acorn Luxury Care Limited","1-105995778","","Hickson, Catherine Mary, Mrs","100040781946","01202515713","","Bournemouth, Christchurch and Poole","South West (ADASS Region)","Residential social care","Care home service without nursing","13","2010-12-07","","N","Good","12/7/2010 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for people whose rights are restricted under the Mental Health Act, Dementia, Mental health conditions, Physical disabilities, Sensory impairment, Substance misuse problems","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Acorn Luxury Care Limited","1-101609030","10/1/2010 12:00:00 AM","15","Organisation","03716938","1","1 location","13","0","1","1.00%","","","","","","0","",""
"Acorn Manor","1-118554714","","Hill, Millie-May, Miss","100041032323","01237423121","www.arknursing.co.uk","Devon","South West (ADASS Region)","Residential social care","Care home service without nursing","9","2010-11-23","","N","Good","11/23/2010 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Ark Care Homes Limited","1-101659592","11/23/2010 12:00:00 AM","15","Organisation","04761394","6","6 - 10 locations","62","0.01","3","2.00%","","","","","","0","",""
"Acorn Manor Residential Home","1-9236535270","","Griffin, Natalie, Miss","100012362323","01513554089","","Cheshire West and Chester","North West (ADASS Region)","Residential social care","Care home service without nursing","30","2020-07-17","","N","Good","7/17/2020 12:00:00 AM","Caring for adults over 65 yrs, Dementia","25-39 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Pooltown Care Limited","1-8805620965","7/17/2020 12:00:00 AM","5","Organisation","12522388","1","1 location","30","0","1","1.00%","","","","","","0","",""
"Acorn Meadow","1-319159404","","Bennett, Lorna Claire, Miss","10013203257","0160648978","www.hc-one.co.uk/homes/avandale-lodge","Cheshire West and Chester","North West (ADASS Region)","Residential social care","Care home service with nursing","48","2011-10-31","","N","Good","10/31/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","HC-One Limited","1-305829465","10/31/2011 12:00:00 AM","14","Organisation","07712656","214","More than 50 locations","11164","1.25","76","49.00%","BRAND HC-One Limited","BD130","444","More than 50 locations","27004","3.02","106","68.00%"
"Acorn Nursing Home","1-133351966","","Buckley, Diane, Mrs","10000870465","01253392440","www.acornnursinghome.co.uk","Blackpool","North West (ADASS Region)","Residential social care","Care home service with nursing","40","2010-12-06","","N","Good","12/6/2010 12:00:00 AM","Caring for adults over 65 yrs, Physical disabilities","40-60 beds","More than 8 years","Good","Good","Good","Requires improvement","Good","Axelbond Limited","1-101683127","10/1/2010 12:00:00 AM","15","Organisation","05569675","3","2 - 5 locations","103","0.01","2","1.00%","","","","","","0","",""
"Acorn Nursing Home","1-126243399","","Simpasa, Elinaty, Ms","200004693035","01274734004","www.rhcl.co.uk","Bradford","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service with nursing","34","2011-01-19","","N","Requires improvement","1/19/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities","25-39 beds","More than 8 years","Requires improvement","Good","Good","Good","Requires improvement","Regency Healthcare Limited","1-101697173","10/1/2010 12:00:00 AM","15","Organisation","04833014","5","2 - 5 locations","154","0.02","4","3.00%","","","","","","0","",""
"Acorn Residential Home","1-112286187","","Nithiyananthan, Yoheswari, Mrs","48050636","02086486612","","Merton","Greater London (ADASS Region)","Residential social care","Care home service without nursing","8","2011-01-10","","N","Good","1/10/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Eating disorders, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Sensory impairment","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Mrs Yoheswari Nithiyananthan & Mr Kanagaratnam Nithiyananthan","1-101623424","10/1/2010 12:00:00 AM","15","Partnership","","1","1 location","8","0","1","1.00%","","","","","","0","",""
"Acorn to Oak Homecare","1-5075426927","","Phelps, Kelly Maria, Mrs","10007310691","01452345134","www.a2ohomecare.com","Gloucestershire","South West (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2018-04-10","","N","Good","4/10/2018 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities","","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Acorn to Oak Homecare Limited","1-4861992350","4/10/2018 12:00:00 AM","7","Organisation","11156375","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Acorn Village","1-116706534","","Cox, Thomas William Edward, Mr","100091460543","01206394124","www.acornvillages.com","Essex","East (ADASS Region)","Residential social care","Care home service without nursing, Supported living service","60","2010-12-07","","N","Good","12/7/2010 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","Acorn Villages Limited","1-101650061","10/1/2010 12:00:00 AM","15","Organisation","","3","2 - 5 locations","66","0.01","1","1.00%","","","","","","0","",""
"Acorns Health Care","1-7701161998","","Barnwell, Amanda Sancia, Mrs","200000175784","01489532099","","Hampshire","South East (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2019-10-17","","N","Requires Improvement","10/17/2019 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions","","More than 5 years but less than 8 years","Requires Improvement","Good","Good","Good","Requires Improvement","Acorns (Southern) Limited","1-7275007106","10/17/2019 12:00:00 AM","6","Organisation","11788437","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Acqua Doria","1-3770685876","","Withey, Angela Jessie, Mrs","34724638","0142085202","www.acquadoria.com","Hampshire","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2017-05-19","","N","Good","5/19/2017 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities","","More than 8 years","Good","Good","Good","Good","Good","Acqua Doria Limited","1-3647459430","5/19/2017 12:00:00 AM","8","Organisation","04680256","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Acquah Lodge- 60 Dalkeith Grove","1-4699976501","","Acquah, Martha Afrakoma, Mrs","05679514","07958010184","www.acquahlodge.co.uk","Harrow","Greater London (ADASS Region)","Community based adult social care services","Supported living service","0","2018-01-03","","N","Good","1/3/2018 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","","More than 8 years","Good","Requires improvement","Good","Good","Good","Acquah Lodge Limited","1-4012070327","1/3/2018 12:00:00 AM","8","Organisation","10705057","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Acquire Care Ltd","1-506808224","","Boers, Nicholas, Mr","10090808446","01865601010","","Oxfordshire","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2012-10-31","","N","Good","10/31/2012 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Substance misuse problems","","More than 8 years","Good","Good","Good","Good","Good","Acquire Care Ltd","1-126618436","12/21/2010 12:00:00 AM","15","Organisation","07262765","2","2 - 5 locations","0","0","1","1.00%","","","","","","0","",""
"Acre Care Limited","1-12636789942","","Gzara, Monika, Mrs","100062416730","01243823265","www.acrecare.co.uk","West Sussex","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2022-02-24","","N","Good","2/24/2022 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment, Substance misuse problems","","More than 3 years but less than 5 years","Good","Good","Good","Good","Good","Acre Care Ltd","1-101680831","10/1/2010 12:00:00 AM","15","Organisation","05506467","2","2 - 5 locations","0","0","1","1.00%","","","","","","0","",""
"Acre Homecare Ltd","1-14858298304","","Nelson, Gillian Patricia Sandra, Miss","23070712","07943172474","","Rochdale","North West (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2023-01-25","","N","","1/25/2023 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Physical disabilities","","More than 3 years but less than 5 years","","","","","","Acre Homecare Ltd","1-14637607146","1/25/2023 12:00:00 AM","3","Organisation","14519545","1","1 location","0","0","1","1.00%","","","","","","0","",""
"AcreCare Limited","1-109179861","","McCrory, Emma Elizabeth, Miss","100062211599","01903505438","www.acrecare.co.uk","West Sussex","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2010-12-07","","N","Good","12/7/2010 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment, Substance misuse problems","","More than 8 years","Good","Good","Good","Good","Good","Acre Care Ltd","1-101680831","10/1/2010 12:00:00 AM","15","Organisation","05506467","2","2 - 5 locations","0","0","1","1.00%","","","","","","0","",""
"Acrefield House","1-13932314137","","Kennedy, Joanne Marie, Miss","42000482","","www.youngfoundations.com","Wirral","North West (ADASS Region)","Residential social care","Care home service without nursing","5","2022-10-03","","N","","10/3/2022 12:00:00 AM","Caring for adults under 65 yrs, Caring for children, Learning Disabilities or autistic spectrum disorder, Mental health conditions","1-9 beds","More than 3 years but less than 5 years","","","","","","Young Foundations Limited","1-118165755","10/1/2010 12:00:00 AM","15","Organisation","05029887","4","2 - 5 locations","22","0","3","2.00%","","","","","","0","",""
"Across The Bay","1-7228996070","","Shaw, Melanie Lee, Miss","100010490838","01524410625","","Lancashire","North West (ADASS Region)","Residential social care","Care home service without nursing","24","2019-10-04","","N","Good","10/4/2019 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Mental health conditions, Physical disabilities, Sensory impairment","10-24 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Across The Bay LTD","1-7020183086","10/4/2019 12:00:00 AM","6","Organisation","11947347","1","1 location","24","0","1","1.00%","","","","","","0","",""
"ACS","1-396848777","","Townley, Alan David Maurice, Mr","25043676","07739337542","www.acscare.co.uk","Milton Keynes","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2012-05-17","","N","Good","5/17/2012 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities, Sensory impairment","","More than 8 years","Good","Good","Good","Good","Good","A C S Care Services Ltd","1-131475066","10/1/2010 12:00:00 AM","15","Organisation","04632710","3","2 - 5 locations","0","0","1","1.00%","","","","","","0","",""
"ACS Healthcare Services","1-15971908654","","Musau, Thomas Nziu, Mr","10014291849","07879566553","","Thurrock","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2023-06-01","","N","","6/1/2023 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","","More than 1 year but less than 3 years","","","","","","ACS Community Projects (ACS UK) Ltd","1-14356577101","6/1/2023 12:00:00 AM","2","Organisation","12433848","1","1 location","0","0","1","1.00%","","","","","","0","",""
"ACS Homecare","1-6982199499","","Konga, Gradi Muanga, Miss","","02084410002","","Barnet","Greater London (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2019-09-17","","N","Good","9/17/2019 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","ACS Homecare LTD","1-6914114145","9/17/2019 12:00:00 AM","6","Organisation","11829725","1","1 location","0","0","1","1.00%","","","","","","0","",""
"ACT Centre","1-13932068025","","Constable, Lynsey Joy, Mrs","10014352602","01263733385","","Norfolk","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2022-09-15","","N","","9/15/2022 12:00:00 AM","Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities","","More than 3 years but less than 5 years","","","","","","Aylsham and District Care Trust","1-13323668723","9/15/2022 12:00:00 AM","3","Organisation","","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Act of Kindness Care Services UK Ltd","1-19800565735","","","63179870","07886555629","www.aokcareservices.com","Wakefield","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2024-08-13","","N","","8/13/2024 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities","","More than 1 year but less than 3 years","","","","","","Act of Kindness Care Services UK Ltd","1-18115851241","8/13/2024 12:00:00 AM","1","Organisation","15089610","1","1 location","0","0","1","1.00%","","","","","","0","",""
