Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
"Gum Health, Bath & Bristol Periodontal Clinic Ltd",506 Bath Road,Saltford,Bristol,,BS31 3JF,01225874444,1-11499107722,,https://www.gumhealth.co.uk,Bath and North East Somerset,South West,,https://www.cqc.org.uk/provider/1-11499107722,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,"Gum Health, Bath & Bristol Periodontal Clinic Ltd"
"Gum Health, Bath & Bristol Periodontal Clinic Ltd",506 Bath Road,Saltford,Bristol,,BS31 3JF,01225874444,1-11499107722,1-11638965279,,Bath and North East Somerset,South West,2012-08-31T00:00:00Z,https://www.cqc.org.uk/location/1-11638965279,,Services for everyone,Dentist,"Gum Health, Bath & Bristol Periodontal Clinic Ltd"
"HCA Healthcare UK Harley Street Outpatients, Devonshire Diagnostic Centre",13-14 Devonshire Street,,London,,W1G 7AE,,1-4472443987,1-4735441786,,Westminster,London,2022-08-23T00:00:00Z,https://www.cqc.org.uk/location/1-4735441786,,Services for everyone,"Doctors/GPs,Doctors/GPs",Devonshire Diagnostic Centre Limited
"HCA Healthcare UK London Bridge Hospital, Leaders in Oncology Care",Guy's Hospital,Great Maze Pond,London,,SE1 9RT,02072342029,1-139254291,1-4305940372,,Southwark,London,2021-12-10T00:00:00Z,https://www.cqc.org.uk/location/1-4305940372,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Clinic,Loc @ The London Bridge Hospital Llp
"HCA Healthcare UK Sydney Street Outpatients, Leaders in Oncology Care",102  Sydney Street,,London,,SW3 6NR,02073172500,1-3554382000,1-3768881480,https://www.hcahealthcare.co.uk/,Kensington and Chelsea,London,2021-12-10T00:00:00Z,https://www.cqc.org.uk/location/1-3768881480,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Clinic,LOC @ Chelsea LLP
"HCA Healthcare UK The Christie Private Care, Leaders in Oncology Care",c/o the Christie Clinic,Wilmslow Road,Manchester,,M20 4BX,01614463480,1-441226248,1-464690874,,Manchester,North West,2022-03-17T00:00:00Z,https://www.cqc.org.uk/location/1-464690874,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Caring for adults over 65 yrs",Clinic,LOC @ The Christie LLP
"HCA Healthcare UK Wellington Hospital Outpatients, Leaders in Oncology Care",15-17 Lodge Road,,London,,NW8 7JA,02073172500,1-149119003,1-3758794199,,Westminster,London,2021-12-10T00:00:00Z,https://www.cqc.org.uk/location/1-3758794199,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs","Clinic,Doctors/GPs,Doctors/GPs",LOC Partnership Llp
"HCL ( Holistic Care) Ltd, Registered Office",17 New Road Avenue,,Chatham,Kent,ME4 6BA,07939461684,1-6785974869,1-7418955747,https://www.hclservices.co.uk/,Medway,South East,,https://www.cqc.org.uk/location/1-7418955747,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs","Homecare agencies,Supported living",HCL(Holistic Care) Ltd
"HMP & YOI Low Newton -Mental Health Team, Psychologically Informed Planned Environment, and Primrose",HMP Low Newton,Brasside,Durham,,DH1 5YA,01913764284,RX3,RX3LN,,County Durham,North East,,https://www.cqc.org.uk/location/RX3LN,,"Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Caring for people whose rights are restricted under the Mental Health Act",Prison healthcare,"Tees, Esk and Wear Valleys NHS Foundation Trust"
"HMP Durham (Mental Health Team, and Integrated Support Unit)",HMP Durham,Old Elvet,Durham,County Durham,DH1 3HU,01913323567,RX3,RX3DU,,County Durham,North East,,https://www.cqc.org.uk/location/RX3DU,,"Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Caring for people whose rights are restricted under the Mental Health Act",Prison healthcare,"Tees, Esk and Wear Valleys NHS Foundation Trust"
"Hall Lane Resource Centre (Respite Care, Short Breaks Service)",157-159 Hall Lane,Baguley,Manchester,,M23 1WD,01612192413,1-101676792,1-2146647956,,Manchester,North West,2024-02-10T00:00:00Z,https://www.cqc.org.uk/location/1-2146647956,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Manchester City Council
"Haringey GP Federation - Havergal Surgery	",9-10 Havergal Villas,Green Lanes,London,,N15 3DY,02088886662,1-4525146639,1-18382769056,,Haringey,London,,https://www.cqc.org.uk/location/1-18382769056,Haringey GP Group Ltd,Services for everyone,"Doctors/GPs,Doctors/GPs",Haringey GP Group Ltd
"Harrogate North and Dale, Harrogate Central & Knaresborough and Ripon Reablement Service",Civic Centre,St Luke's Mount,Harrogate,,HG3 2AE,01609535031,1-101668998,1-130582698,https://www.northyorks.gov.uk,North Yorkshire,Yorkshire & Humberside,2018-12-12T00:00:00Z,https://www.cqc.org.uk/location/1-130582698,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Homecare agencies,Supported living",North Yorkshire Council
"Harrow Road GP Practice, Triangle House Health Centre",2-8 Harrow Road,Leytonstone,London,,E11 3QF,02030787770,1-199735752,1-1422043053,,Waltham Forest,London,2025-05-12T08:29:31Z,https://www.cqc.org.uk/location/1-1422043053,,Services for everyone,"Doctors/GPs,Doctors/GPs",Harrow Road GP Practice
"Harrow, London",Office 3B,79 College Road,Harrow,,HA1 1BD,0330133538,1-9547922284,1-19610843128,,Harrow,London,,https://www.cqc.org.uk/location/1-19610843128,,Services for everyone,"Mobile doctors,Phone/online advice",Nova Healthcare Solutions Ltd
"Head Office, Capital Recruitment Ltd",UKO Castlemill,Burnt Tree,Tipton,,DY4 7UF,08000075577,1-21810145171,1-23694768595,https://www.capitalrecruitmentltd.co.uk/,Sandwell,West Midlands,,https://www.cqc.org.uk/location/1-23694768595,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Capital Recruitment Ltd
"HealthHarmonie Ltd, Highfield Road",26 Highfield Road,Edgbaston,Birmingham,,B15 3DP,,1-101726729,1-18387757603,,Birmingham,West Midlands,2013-03-08T00:00:00Z,https://www.cqc.org.uk/location/1-18387757603,,"Services for everyone,Mental health conditions",Community services - Healthcare,HealthHarmonie Limited
"Hillside Dental Clinic, Saxon House",7 Hillside Road,,Bury St. Edmunds,,IP32 7EA,03005556667,1-191589944,1-20243455320,,Suffolk,East,,https://www.cqc.org.uk/location/1-20243455320,,Services for everyone,Dentist,Community Dental Services CIC
"Hira Qureshi, Saqib Ali",153 Hainault Road,Leytonstone,London,,E11 1DT,02085584478,1-19408388755,,,Waltham Forest,London,,https://www.cqc.org.uk/provider/1-19408388755,Grove Dental Leytonstone,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Hira Qureshi, Saqib Ali"
"Hiral Patel, Aarti Dawada-Patel, Ketan Patel, Neeta Patel","High Street, Barnet Lane",Elstree,Borehamwood,,WD6 3BY,02082075707,1-20629561605,,https://www.cornerhousedentalcare.co.uk,Hertfordshire,East,,https://www.cqc.org.uk/provider/1-20629561605,Cornerhouse Dental Care,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Hiral Patel, Aarti Dawada-Patel, Ketan Patel, Neeta Patel"
"Holford, Rydon, and Pyrland 1 & 2 Wards",Cheddon Road,,Taunton,Somerset,TA2 7AU,01823333287,RH5,RH576,https://www.sompar.nhs.uk,Somerset,South West,2014-01-14T00:00:00Z,https://www.cqc.org.uk/location/RH576,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Caring for people whose rights are restricted under the Mental Health Act",Hospitals - Mental health/capacity,Somerset NHS Foundation Trust
"Holloman, Malapati and Associates",32 High Street,,Bromyard,Herefordshire,HR7 4AE,01885482455,1-6814506451,1-6914545214,,"Herefordshire, County of",West Midlands,2024-01-19T00:00:00Z,https://www.cqc.org.uk/location/1-6914545214,,Services for everyone,Dentist,Mr Krishna Mohan Reddy Malapati
"Home Instead - Bromley, Chislehurst & Orpington",76 Croydon Road,Coney Hall Village,West Wickham,,BR4 9HY,02086582535,1-973941171,1-3108169754,https://www.homeinstead.co.uk/bromley,Bromley,London,2018-03-03T00:00:00Z,https://www.cqc.org.uk/location/1-3108169754,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Happy at Home (Bromley) Limited
"Home Instead - Peterborough, Oundle & The Deepings","Unit 3, Swan Court, Forder Way","Cygnet Park, Hampton",Peterborough,,PE7 8GX,01733333342,1-414312176,1-1127939767,,Peterborough,East,2017-12-15T00:00:00Z,https://www.cqc.org.uk/location/1-1127939767,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Commitment to Care Ltd
"Home Instead Ascot, Camberley & Wokingham",17 (Unit D) County Lane,Warfield,Bracknell,,RG42 3JP,01344233147,1-358148110,1-918763522,https://www.homeinstead.co.uk/bagshot,Bracknell Forest,South East,2020-02-08T00:00:00Z,https://www.cqc.org.uk/location/1-918763522,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Eating disorders,Physical disabilities",Homecare agencies,Martin Care Services Ltd
"Home Instead Batley, Rothwell and South Leeds",20 Commercial Street,,Batley,,WF17 5HH,01924927260,1-22954959352,1-23967794552,https://www.homeinstead.co.uk/Batley-Rothwell-South-Leeds,Kirklees,Yorkshire & Humberside,,https://www.cqc.org.uk/location/1-23967794552,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Solace Homecare Ltd
"Home Instead Brentwood, Billericay & Upminster",Stubbers Farm,"Unit 9 Suite B, Mountnessing Road",Blackmore,Essex,CM4 0NX,01277822858,1-117003374,1-246139272,https://www.homeinstead.co.uk/brentwood-upminster,Essex,East,2024-05-08T06:56:28Z,https://www.cqc.org.uk/location/1-246139272,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Comitis LII Limited
"Home Instead Crowborough, Tenterden & Rye",22 Basepoint Centre,Pine Grove,Crowborough,,TN6 1DH,01892481810,1-8378761436,1-9901020686,https://www.Homeinstead.co.uk/Crowborough,East Sussex,South East,2022-08-17T00:00:00Z,https://www.cqc.org.uk/location/1-9901020686,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Espinas Group Limited
"Home Instead Cuffley, Cheshunt & Harlow",35a,High Street,Potters Bar,,EN6 5AJ,01707243880,1-7019842808,1-7846447600,https://www.homeinstead.co.uk/cuffley-cheshunt-harlow,Hertfordshire,East,2021-11-16T00:00:00Z,https://www.cqc.org.uk/location/1-7846447600,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,ANP Senior Care Ltd
"Home Instead Farnborough, Farnham and Fleet",45 Alexandra Road,,Farnborough,Hampshire,GU14 6BS,01252758716,1-429529732,1-1555661011,https://www.homeinstead.co.uk/farnborough-farnham-fleet,Hampshire,South East,2019-08-20T00:00:00Z,https://www.cqc.org.uk/location/1-1555661011,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Eating disorders,Physical disabilities",Homecare agencies,Maxcare Ltd
"Home Instead Hinckley, Burbage and Nuneaton","The Old Byre, Fields Farm Business Centre","Hinckley Road, Sapcote",Leicester,,LE9 4LH,01455247979,1-5339525412,1-5348431575,https://www.homeinstead.co.uk/hinckley,Leicestershire,East Midlands,2019-10-17T00:00:00Z,https://www.cqc.org.uk/location/1-5348431575,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Think Homecare Limited
"Home Instead Horsham, Haywards Heath & Burgess Hill",Unit 15-16 Graylands Estate,Langhurstwood Road,Horsham,,RH12 4QD,01403248227,1-277020907,1-290649525,,West Sussex,South East,2019-02-28T00:00:00Z,https://www.cqc.org.uk/location/1-290649525,,Caring for adults over 65 yrs,Homecare agencies,REHB Limited
"Home Instead Senior Care - Brighton, Hove and Shoreham office","Unit 1E, Waterside House","Basin Road North, Portslade",Brighton,,BN41 1UY,01273284090,1-2512962305,1-2648244385,https://www.homeinstead.co.uk/brighton,Brighton and Hove,South East,2019-12-18T00:00:00Z,https://www.cqc.org.uk/location/1-2648244385,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Brighton and Hove Care At Home Limited
"Home Instead Senior Care: Maidenhead, Henley & Wallingford",Unit 5,"Castle End, Ruscombe",Reading,Berkshire,RG10 9XQ,01628299097,1-383066148,1-3018451330,https://www.homeinstead.co.uk/maidenhead,Wokingham,South East,2018-05-23T00:00:00Z,https://www.cqc.org.uk/location/1-3018451330,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Westgarth Enterprises Limited
"Home Instead Stafford, Cheadle and Stone","Unit 8, Whitebridge Estate",Whitebridge Lane,Stone,Staffordshire,ST15 8LQ,01785817339,1-101693236,1-117658077,https://www.homeinstead.co.uk,Staffordshire,West Midlands,2019-06-05T00:00:00Z,https://www.cqc.org.uk/location/1-117658077,,"Sensory impairments,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,CORDURA LIMITED
"Home Instead Stoke Newington, Leyton & Wanstead","Arthaus,",203 Richmond Road,London,,E8 3NJ,02081945100,1-8574553855,1-9342964693,https://www.homeinstead.co.uk/stoke-newington,Hackney,London,2022-02-16T00:00:00Z,https://www.cqc.org.uk/location/1-9342964693,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Hearthstone Care Services Limited
"Home Instead Swadlincote, Ashby and Melbourne",2 Hill Street,,Swadlincote,Derbyshire,DE11 8HL,01283222678,1-131466730,1-3015522680,,Derbyshire,East Midlands,2020-03-10T00:00:00Z,https://www.cqc.org.uk/location/1-3015522680,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Derby Senior Care Limited
"Home Instead Tunbridge Wells, Sevenoaks & Edenbridge",1 The Long Barn,"Mousden Farm, Halls Hole Road",Tunbridge Wells,,TN2 4RF,01732759854,1-299922634,1-309769246,https://www.homeinstead.co.uk,Kent,South East,2020-06-03T00:00:00Z,https://www.cqc.org.uk/location/1-309769246,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Kishi Care Ltd
"Home Instead Wandsworth, Lambeth & Dulwich",LU132 The Light Bulb,1 Filament Walk,London,,SW18 4GQ,02088710006,1-224936649,1-2776209403,https://homeinstead.co.uk/wandsworth-lambeth,Wandsworth,London,2019-11-20T00:00:00Z,https://www.cqc.org.uk/location/1-2776209403,,"Sensory impairments,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Tony O'Flaherty Limited
"Home Instead Weston super Mare, Clevedon & Burnham on Sea",202 High Street,Worle,Weston Super Mare,Avon,BS22 6JE,01934526892,1-460437209,1-1226980956,https://www.homeinstead.co.uk/westonsupermare,North Somerset,South West,2019-08-17T00:00:00Z,https://www.cqc.org.uk/location/1-1226980956,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Western Consultancy Services Ltd
"Home Instead Yeovil, Sherborne, Bridport","Yeovil Innovation Centre, Copse Road","Lufton Trading Estate, Lufton",Yeovil,Somerset,BA22 8RN,01935577030,1-4204135681,1-4279770669,https://www.homeinstead.co.uk/yeovilsherbornebridport,Somerset,South West,2018-11-22T00:00:00Z,https://www.cqc.org.uk/location/1-4279770669,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Gray Care Limited
"Home Instead, Greenwich & Bexley",130 Bellegrove Road,,Welling,,DA16 3QR,02037718424,1-2163614349,1-2192456230,,Bexley,London,2019-05-18T00:00:00Z,https://www.cqc.org.uk/location/1-2192456230,Greenwich Care Ltd,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Greenwich Care Limited
"Home Instead, Shrewsbury Ludlow and Oswestry",Rear Office Second Floor Vinchy House,264a Vinchy House Monkmoor Road,Shrewsbury,,SY2 5ST,01743387650,1-598582570,1-2500817982,https://www.homeinstead.co.uk/shrewsburyludlowandoswestry,Shropshire,West Midlands,2021-12-04T00:00:00Z,https://www.cqc.org.uk/location/1-2500817982,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Respect Our Elders Limited
"Human Support Group Limited - Gateshead, Angel Court",Angel Court,Waverley Road,Gateshead,,NE9 7TG,,1-101693918,1-5597302011,,Gateshead,North East,2019-11-22T00:00:00Z,https://www.cqc.org.uk/location/1-5597302011,,"Sensory impairments,Dementia,Mental health conditions,Physical disabilities","Homecare agencies,Supported housing",The Human Support Group Limited
"Human Support Group Limited - Gateshead, Callendar Court",Callendar Court,"Beacon Lough Estate, Cranesville,",Gateshead,,NE9 6RR,01913898929,1-101693918,1-5597302349,,Gateshead,North East,2019-12-21T00:00:00Z,https://www.cqc.org.uk/location/1-5597302349,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Homecare agencies,Supported housing",The Human Support Group Limited
"ICare (GB) Limited - Blackpool, Fylde and Wyre","Building 3, Kincraig Business Park",Kincraig Road,Blackpool,Lancashire,FY2 0PJ,01253508277,1-101647918,1-315418478,https://www.icaregroup.co.uk,Blackpool,North West,2019-02-13T00:00:00Z,https://www.cqc.org.uk/location/1-315418478,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Eating disorders,Physical disabilities",Homecare agencies,I Care (GB) Limited
"ICare Resource, Newham Branch","City View House, 1 Dorset Place",,London,,E15 1BZ,02033552088,1-2634319869,1-24515307007,,Newham,London,,https://www.cqc.org.uk/location/1-24515307007,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Eating disorders,Physical disabilities",Homecare agencies,ICare Resource Limited
"Imtiaz Mohammad,John Murphy,Colin Read Partners",103 Crab Street,,St Helens,Merseyside,WA10 2DJ,01744750701,1-2011856677,,,St. Helens,North West,,https://www.cqc.org.uk/provider/1-2011856677,Lowe House Dental Care,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Imtiaz Mohammad,John Murphy,Colin Read Partners"
"Independent Living (Chorley, Leyland, Parbold & Standish)",225 Eaves Lane,,Chorley,Lancashire,PR6 0AG,01257367404,1-342376888,1-2030722626,,Lancashire,North West,2019-11-16T00:00:00Z,https://www.cqc.org.uk/location/1-2030722626,,Caring for adults over 65 yrs,Homecare agencies,Happy Homecare UK Ltd
"Inn Care, Bristol Office",Unit 3/7,"Netham View Industrial Park, Netham Road, Redfield",Bristol,,BS5 9PQ,07533570668,1-4361873340,1-19666812212,,"Bristol, City of",South West,,https://www.cqc.org.uk/location/1-19666812212,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Homecare agencies,Inn Care Limited
"Inn Care, Bristol Office",Unit 3/7,"Netham View Industrial Park, Netham Road, Redfield",Bristol,,BS5 9PQ,07533570668,1-4361873340,1-19666812212,,"Bristol, City of",South West,,https://www.cqc.org.uk/location/1-19666812212,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs",Homecare agencies,Inn Care Limited
"Inner City Care, Sherwood House",Sherwood house,7 Gregory Boulevard,Nottingham,Nottinghamshire,NG7 6LB,01158561140,1-4594125560,1-5506511765,https://www.innercitycare.co.uk,Nottingham,East Midlands,2025-06-10T17:32:57Z,https://www.cqc.org.uk/location/1-5506511765,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Caring for people whose rights are restricted under the Mental Health Act,Substance misuse problems,Eating disorders,Physical disabilities",Homecare agencies,Miss Robina Parween
"Integrated Care Centre, St Charles Centre for Health and Well-being",Exmoor Street,,London,,W10 6DZ,02081025109,1-2939384297,1-3299814112,,Kensington and Chelsea,London,2019-08-29T00:00:00Z,https://www.cqc.org.uk/location/1-3299814112,,Services for everyone,"Doctors/GPs,Doctors/GPs",London Medical Associates Limited
"Isle of Wight Council, Sea Street Offices, County Hall",High Street,,Newport,,PO30 1UD,01983821000,1-101646085,1-7343257505,https://www.iow.gov.uk,Isle of Wight,South East,2021-01-16T00:00:00Z,https://www.cqc.org.uk/location/1-7343257505,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Isle of Wight Council
"Ivy House Dental, Mirza and Mirza",51 Kentish Town Road,,London,,NW1 8NX,07775845090,1-5009981070,,https://www.ivyhousedentalcamden.co.uk,Camden,London,,https://www.cqc.org.uk/provider/1-5009981070,Ivy House,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Ivy House Dental, Mirza and Mirza"
"J & C Healthcare, Somerset","Office 10, Highbridge Enterprise Centre","Bennett Road, Isleport Business Park",Highbridge,,TA9 4AL,01278550260,1-13866224688,1-14567857103,,Somerset,South West,,https://www.cqc.org.uk/location/1-14567857103,,"Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs","Homecare agencies,Supported living",J & C Services Limited
"Jacqueline Doran, Ailish Doran, Cara Doran",180 Chester Road,,Sunderland,Tyne and Wear,SR4 7EY,01915108686,1-8282988887,,,Sunderland,North East,,https://www.cqc.org.uk/provider/1-8282988887,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Jacqueline Doran, Ailish Doran, Cara Doran"
"Jandu, Bhambra and Payne",160 Lower High Street,,Stourbridge,West Midlands,DY8 1TS,01384394215,1-1993880336,,https://www.stourbridgedentists.com,Dudley,West Midlands,,https://www.cqc.org.uk/provider/1-1993880336,Stourcote Dental Practice,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Jandu, Bhambra and Payne"
"Jas Kainth, Amrit Kainth & Gurpreet Kainth",394 High Street,,West Bromwich,West Midlands,B70 9LB,01215532268,1-10057849987,,,Sandwell,West Midlands,,https://www.cqc.org.uk/provider/1-10057849987,The Dental Practice (Dr J S Kainth Partners & Associates),"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Jas Kainth, Amrit Kainth & Gurpreet Kainth"
"Jasbir Paik, Jaspreet Jandoo, Jagpal Paik and Tanveer Paik",442 Buxton Road,,Stockport,Cheshire,SK2 7JB,,1-4247325186,,https://www.pearldent.co.uk,Stockport,North West,,https://www.cqc.org.uk/provider/1-4247325186,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Jasbir Paik, Jaspreet Jandoo, Jagpal Paik and Tanveer Paik"
"Jefferies, Reed & Associates","Europa House, Europa Trading Estate","Stoneclough Road, Radcliffe",Manchester,Lancashire,M26 1GG,01204799799,1-1568630951,,,Bolton,North West,,https://www.cqc.org.uk/provider/1-1568630951,IDH Group Ltd,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Jefferies, Reed & Associates"
"Juniper Lodge, Leicestershire",New Parks,71 St. Oswald Road,Leicester,,LE3 6RJ,01162733330,1-10221052733,1-11253586890,,Leicester,East Midlands,2021-11-17T00:00:00Z,https://www.cqc.org.uk/location/1-11253586890,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Community services - Healthcare,Care and Custody (Health) Limited
"Kaur, Singh and Sayeed",109 Coleman Road,,Leicester,Leicestershire,LE5 4LE,07737043637,1-20243190718,,https://www.smilezonedental.co.uk,Leicester,East Midlands,,https://www.cqc.org.uk/provider/1-20243190718,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Kaur, Singh and Sayeed"
"Keith Grey, Adam Tabor & Emma Hutchinson",26 Farm Road,,Hove,East Sussex,BN3 1FD,01273327270,1-5648305300,,https://www.somerhilldental.co.uk,Brighton and Hove,South East,,https://www.cqc.org.uk/provider/1-5648305300,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Keith Grey, Adam Tabor & Emma Hutchinson"
"Kempegowda, Tafft & Patel",4 Church Green,,Witney,Oxfordshire,OX28 4AW,01993703517,1-20401327356,,,Oxfordshire,South East,,https://www.cqc.org.uk/provider/1-20401327356,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Kempegowda, Tafft & Patel"
"Kerr-Care At Home Services Ltd - Right At Home (Wimbledon, Putney and Kingston)",Kingspark Business Centre,152-178 Kingston Road,New Malden,,KT3 3ST,02039119331,1-309187855,1-2238952651,,Kingston upon Thames,London,2020-04-17T00:00:00Z,https://www.cqc.org.uk/location/1-2238952651,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Kerr-Care At Home Services Ltd
"Kheyr Healthcare Ltd - The Vista Centre, Suite A3:08B, 3rd Floor, 50 Salisbury Road","The Vista Centre, Suite A3:08B, 3rd Floor",50 Salisbury Road,Hounslow,,TW4 6JQ,03330508929,1-16862761276,1-18444455609,https://www.kheyrhealthcare.co.uk,Hounslow,London,,https://www.cqc.org.uk/location/1-18444455609,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Eating disorders,Physical disabilities",Homecare agencies,Kheyr Healthcare Ltd
"Kingdom Youth Services, Supported Living",57 Pure Offices,Kembrey Park,Swindon,,SN2 8BW,01793376176,1-11383993435,1-12297171268,,Swindon,South West,2023-03-23T00:00:00Z,https://www.cqc.org.uk/location/1-12297171268,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Substance misuse problems,Physical disabilities",Supported living,Kingdom Youth Services Limited
"Kingsley Cottage, Blackfords",41-43 Cannock Road,,Cannock,Staffordshire,WS11 5BU,01543504009,1-13261438895,1-17196061823,,Staffordshire,West Midlands,,https://www.cqc.org.uk/location/1-17196061823,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,SS Care Limited
"Kiran Heights, Garland Lodge",2 Freshwater Road,,Dagenham,,RM8 1SP,02080620930,1-6915058192,1-23665908810,,Barking and Dagenham,London,,https://www.cqc.org.uk/location/1-23665908810,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs","Homecare agencies,Supported living",Garland Lodge Ltd
